Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
144	TR	A0A140WZ14	Beta-lactamase OS=Escherichia coli ACN001 OX=1311757 GN=blaTEM-1 PE=3 SV=1	Escherichia coli ACN001	286	1342	99.6	99.6	0.0
145	TR	A2T9C5	Beta-lactamase OS=Enterobacter sp. EN729 OX=419233 GN=blaTEM-1 PE=3 SV=1	Enterobacter sp. EN729	286	1342	99.6	99.6	0.0
146	TR	C8C0P5	Beta-lactamase OS=mixed culture bacterium CA_gF2-3DD01_02 OX=663131 PE=3 SV=1	mixed culture bacterium CA_gF2-3DD01_02	286	1342	99.6	99.6	0.0
147	TR	Q27W39	Beta-lactamase OS=Neisseria gonorrhoeae OX=485 PE=3 SV=1	Neisseria gonorrhoeae	286	1342	99.6	99.6	0.0
148	TR	A0A8E2Y0J1	Beta-lactamase OS=Neisseria gonorrhoeae OX=485 GN=blaTEM PE=3 SV=1	Neisseria gonorrhoeae	287	1342	99.6	99.6	0.0
149	TR	A0A873B733	Beta-lactamase OS=Salmonella sp. S13 OX=2686305 GN=blaTEM-1 PE=3 SV=1	Salmonella sp. S13	286	1342	99.6	99.6	0.0
150	TR	E9NGZ4	Beta-lactamase OS=Salmonella enterica subsp. enterica serovar Rissen OX=399587 GN=blaTEM-1B PE=3 SV=1	Salmonella enterica subsp. enterica serovar Rissen	286	1342	99.6	99.6	0.0
151	TR	A0A0P0GJH5	Beta-lactamase OS=Klebsiella sp. KO_CGKV01_2014 OX=1737119 GN=blaTEM PE=3 SV=1	Klebsiella sp. KO_CGKV01_2014	286	1342	99.6	99.6	0.0
152	TR	A2T9B4	Beta-lactamase OS=Enterobacter sp. EN690 OX=419227 GN=blaTEM-1 PE=3 SV=1	Enterobacter sp. EN690	286	1342	99.6	99.6	0.0
153	TR	A0A3G2Y167	Beta-lactamase OS=Citrobacter sp. OX=1896336 GN=blaTEM PE=3 SV=1	Citrobacter sp.	286	1342	99.6	99.6	0.0
154	TR	A0A4Y6L092	Beta-lactamase (Fragment) OS=Escherichia coli OX=562 GN=blaTEM PE=3 SV=1	Escherichia coli	284	1342	99.6	99.6	0.0
155	TR	A0A142EC40	Beta-lactamase OS=Escherichia coli OX=562 PE=3 SV=1	Escherichia coli	316	1342	99.6	99.6	0.0
156	TR	B2CMB0	Beta-lactamase OS=Escherichia coli OX=562 GN=blaTEM-20 PE=3 SV=1	Escherichia coli	286	1342	99.6	99.6	0.0
157	TR	A0A286SCJ7	Beta-lactamase OS=Escherichia coli OX=562 PE=3 SV=1	Escherichia coli	286	1342	99.6	99.6	0.0
158	TR	A0A0K0VHH1	Beta-lactamase (Fragment) OS=Escherichia coli OX=562 PE=3 SV=1	Escherichia coli	280	1342	99.6	99.6	0.0
159	TR	A0A0C5BXY6	Beta-lactamase OS=Escherichia coli OX=562 GN=TEM-214 PE=3 SV=1	Escherichia coli	286	1342	99.6	99.6	0.0
160	TR	W6GIQ5	Beta-lactamase (Fragment) OS=Escherichia coli OX=562 GN=blaTEM PE=3 SV=1	Escherichia coli	278	1342	99.6	99.6	0.0
161	TR	N0D6W6	Beta-lactamase OS=Escherichia coli OX=562 GN=TEM-206 PE=3 SV=1	Escherichia coli	286	1342	99.6	99.6	0.0
162	TR	S4WTT5	Beta-lactamase (Fragment) OS=Escherichia coli OX=562 GN=pec386IL_00360 PE=3 SV=1	Escherichia coli	279	1342	99.6	99.6	0.0
163	TR	A0A7U3Q0R4	Beta-lactamase OS=Escherichia coli OX=562 GN=blaTEM PE=3 SV=1	Escherichia coli	286	1342	99.6	99.6	0.0
164	TR	C4NV37	Beta-lactamase OS=Escherichia coli OX=562 GN=blaTEM-1 PE=1 SV=1	Escherichia coli	278	1342	99.6	99.6	0.0
165	TR	A0A2I8ANK3	Beta-lactamase OS=Escherichia coli OX=562 GN=blaTEM PE=3 SV=1	Escherichia coli	286	1342	99.6	99.6	0.0
166	TR	U3R8M1	Beta-lactamase OS=Klebsiella pneumoniae subsp. ozaenae OX=574 GN=blaTEM-1 PE=3 SV=1	Klebsiella pneumoniae subsp. ozaenae	286	1342	99.6	99.6	0.0
167	TR	A0A2U8JH98	Beta-lactamase (Fragment) OS=Escherichia coli OX=562 PE=3 SV=1	Escherichia coli	286	1342	99.6	99.6	0.0
168	TR	A0A140G9J7	Beta-lactamase (Fragment) OS=Escherichia coli OX=562 PE=3 SV=1	Escherichia coli	290	1342	99.6	99.6	0.0
169	TR	A0A3S6GSU0	Beta-lactamase OS=Hafnia alvei OX=569 GN=blaTEM PE=3 SV=1	Hafnia alvei	286	1342	99.6	99.6	0.0
170	TR	C8C0R2	Beta-lactamase OS=mixed culture bacterium CA_gF3SD01_18 OX=663140 PE=3 SV=1	mixed culture bacterium CA_gF3SD01_18	286	1342	99.6	99.6	0.0
171	TR	C8C0F7	Beta-lactamase OS=mixed culture bacterium AX_gF1DD01_04 OX=663095 PE=3 SV=1	mixed culture bacterium AX_gF1DD01_04	286	1342	99.6	99.6	0.0
172	TR	A0AA49J5A8	Beta-lactamase OS=Escherichia coli O78:H4 OX=2854732 GN=QQA23_25305 PE=3 SV=1	Escherichia coli O78:H4	286	1342	99.6	99.6	0.0
173	TR	C8C0H7	Beta-lactamase OS=mixed culture bacterium AX_gF3SD01_13 OX=663106 PE=3 SV=1	mixed culture bacterium AX_gF3SD01_13	286	1342	99.6	99.6	0.0
174	TR	U3GK24	Beta-lactamase OS=Kingella kingae KKC2005004457 OX=1229911 GN=TEM-1 PE=3 SV=1	Kingella kingae KKC2005004457	286	1342	99.6	99.6	0.0
175	TR	A2T9A6	Beta-lactamase OS=Proteus sp. PR425 OX=419238 GN=blaTEM-1 PE=3 SV=1	Proteus sp. PR425	286	1342	99.6	99.6	0.0
176	TR	A0A1L7R524	Beta-lactamase OS=Salmonella enterica subsp. enterica serovar Typhimurium var. monophasic 4,[5],12:i:- OX=1461749 GN=blaTEM1 PE=3 SV=1	Salmonella enterica subsp. enterica serovar Typhimurium var. monophasic 4,[5],12:i:-	286	1342	99.6	99.6	0.0
177	TR	C8C0L1	Beta-lactamase OS=mixed culture bacterium AX_gF3SD01_48 OX=663122 PE=3 SV=1	mixed culture bacterium AX_gF3SD01_48	286	1342	99.6	99.6	0.0
178	TR	A0A753JEL0	Beta-lactamase OS=Salmonella enterica OX=28901 GN=blaTEM PE=3 SV=1	Salmonella enterica	286	1342	99.6	99.6	0.0
179	TR	A0A5U4Y2I6	Beta-lactamase OS=Salmonella enterica OX=28901 GN=blaTEM PE=3 SV=1	Salmonella enterica	278	1342	99.6	99.6	0.0
180	TR	A0A5U5EET2	Beta-lactamase (Fragment) OS=Salmonella enterica OX=28901 GN=blaTEM PE=3 SV=1	Salmonella enterica	270	1342	99.6	99.6	0.0
181	TR	A0A5Z0P4L2	Beta-lactamase OS=Salmonella enterica OX=28901 GN=blaTEM PE=3 SV=1	Salmonella enterica	276	1342	99.6	99.6	0.0
182	TR	A0A602X2V0	Beta-lactamase OS=Salmonella enteritidis OX=149539 GN=blaTEM PE=3 SV=1	Salmonella enteritidis	276	1342	99.6	99.6	0.0
183	TR	A0A5U3NR79	Beta-lactamase (Fragment) OS=Salmonella enterica OX=28901 GN=blaTEM PE=3 SV=1	Salmonella enterica	283	1342	99.6	99.6	0.0
184	TR	Q7BR75	Beta-lactamase OS=Neisseria meningitidis OX=487 GN=TEM-1 PE=3 SV=1	Neisseria meningitidis	286	1342	99.6	99.6	0.0
185	TR	C5H4R0	Beta-lactamase OS=Helicobacter pylori OX=210 GN=blaTEM-1 PE=3 SV=1	Helicobacter pylori	286	1342	99.6	99.6	0.0
186	TR	A0A3G2C7Y1	Beta-lactamase OS=uncultured Escherichia sp. OX=237777 GN=TEM-1 PE=3 SV=1	uncultured Escherichia sp.	286	1342	99.6	99.6	0.0
187	TR	C5I501	Beta-lactamase (Fragment) OS=Klebsiella sp. 51 OX=649749 GN=blaTEM PE=3 SV=1	Klebsiella sp. 51	285	1342	99.6	99.6	0.0
188	TR	C8C0J3	Beta-lactamase OS=mixed culture bacterium AX_gF3SD01_22 OX=663113 PE=3 SV=1	mixed culture bacterium AX_gF3SD01_22	286	1342	99.6	99.6	0.0
189	TR	A2T9B7	Beta-lactamase OS=Enterobacter sp. EN989 OX=419237 GN=blaTEM-1 PE=3 SV=1	Enterobacter sp. EN989	286	1342	99.6	99.6	0.0
190	TR	A0A2Z4N5Y6	Beta-lactamase (Fragment) OS=Enterobacteriaceae bacterium OX=1849603 GN=blaTEM PE=3 SV=1	Enterobacteriaceae bacterium	279	1342	99.6	99.6	0.0
191	TR	A0A2Z4N600	Beta-lactamase (Fragment) OS=Enterobacteriaceae bacterium OX=1849603 GN=blaTEM PE=3 SV=1	Enterobacteriaceae bacterium	277	1342	99.6	99.6	0.0
192	TR	A0A2Z4N5Y4	Beta-lactamase (Fragment) OS=Enterobacteriaceae bacterium OX=1849603 GN=blaTEM PE=3 SV=1	Enterobacteriaceae bacterium	274	1342	99.6	99.6	0.0
193	TR	A0A2Z4N5Y1	Beta-lactamase (Fragment) OS=Enterobacteriaceae bacterium OX=1849603 GN=blaTEM PE=3 SV=1	Enterobacteriaceae bacterium	276	1342	99.6	99.6	0.0
194	TR	A0A2Z4N5Y8	Beta-lactamase (Fragment) OS=Enterobacteriaceae bacterium OX=1849603 GN=blaTEM PE=3 SV=1	Enterobacteriaceae bacterium	275	1342	99.6	99.6	0.0
195	TR	C8C0R3	Beta-lactamase OS=mixed culture bacterium CA_gF3SD01_20 OX=663141 PE=3 SV=1	mixed culture bacterium CA_gF3SD01_20	286	1342	99.6	99.6	0.0
196	TR	A2T9C2	Beta-lactamase OS=Enterobacter sp. EN232 OX=419224 GN=blaTEM-1 PE=3 SV=1	Enterobacter sp. EN232	286	1342	99.6	99.6	0.0
197	TR	X2JG73	Beta-lactamase (Fragment) OS=bacterium E81_UTI OX=1472113 GN=TEM PE=3 SV=1	bacterium E81_UTI	282	1342	99.6	99.6	0.0
198	TR	X2JHQ6	Beta-lactamase (Fragment) OS=Escherichia sp. G5_UTI OX=1472116 GN=TEM PE=3 SV=1	Escherichia sp. G5_UTI	269	1342	99.6	99.6	0.0
199	TR	A0A2S1P699	Beta-lactamase OS=Acinetobacter schindleri OX=108981 GN=TEM PE=3 SV=1	Acinetobacter schindleri	286	1342	99.6	99.6	0.0
200	TR	A2T9B9	Beta-lactamase OS=Enterobacter sp. EN702 OX=419228 GN=blaTEM-1 PE=3 SV=1	Enterobacter sp. EN702	286	1342	99.6	99.6	0.0
